WARNING: 2 finite variable bounds are >= bndrange in magnitude.
         These bounds will be treated as infinite in Knitro.
         To impose as finite bounds, increase bndrange user option.
WARNING: 2 finite constraint bounds are >= bndrange in magnitude.
         These bounds will be treated as infinite in Knitro.
         To impose as finite bounds, increase bndrange user option.

=======================================
          Commercial License
         Artelys Knitro 12.2.0
=======================================

Knitro presolve eliminated 0 variables and 1 constraint.

algorithm:               2
bar_feasible:            3
cg_maxit:               50
feastol_abs:             0.0001
maxit:                   200
opttol:                  0.0001
outlev:                  3
outmode:                 2
par_concurrent_evals:    0
Knitro changing bar_initpt from AUTO to 3.
Knitro changing bar_murule from AUTO to 1.
Knitro changing bar_penaltycons from AUTO to 2.
Knitro changing bar_penaltyrule from AUTO to 2.
Knitro changing bar_switchrule from AUTO to 0.
Knitro changing linesearch from AUTO to 1.
Knitro changing linsolver from AUTO to 4.
Knitro shifted start point to satisfy presolved bounds (12 variables).

Problem Characteristics                                 (   Presolved)
-----------------------
Objective goal:  Minimize
Objective type:  general
Number of variables:                               7603 (        7603)
    bounded below only:                               0 (           0)
    bounded above only:                               0 (           0)
    bounded below and above:                       7602 (        7602)
    fixed:                                            0 (           0)
    free:                                             1 (           1)
Number of constraints:                             6850 (        8297)
    linear equalities:                                0 (           0)
    quadratic equalities:                             0 (           0)
    gen. nonlinear equalities:                     5401 (        5401)
    linear one-sided inequalities:                    0 (           0)
    quadratic one-sided inequalities:                 0 (           0)
    gen. nonlinear one-sided inequalities:            1 (        2896)
    linear two-sided inequalities:                    0 (           0)
    quadratic two-sided inequalities:                 0 (           0)
    gen. nonlinear two-sided inequalities:         1448 (           0)
Number of nonzeros in Jacobian:                  243788 (      251027)
Number of nonzeros in Hessian:                        0 (           0)

  Iter      Objective      FeasError   OptError    ||Step||    CGits 
      39   -2.562711e-01   1.313e+04   4.914e+06   3.290e+00       38
      40   -2.538209e-01   1.302e+04   5.070e+06   3.957e+00       49
      41   -2.513519e-01   1.290e+04   4.424e+06   3.913e+00       40
      42   -2.496064e-01   1.281e+04   4.587e+06   2.700e+00       50
      43   -2.480952e-01   1.273e+04   4.500e+06   2.412e+00        1
      44   -2.457079e-01   1.262e+04   5.026e+06   3.883e+00        1
      45   -2.435459e-01   1.253e+04   4.770e+06   3.402e+00       46
      46   -2.420966e-01   1.245e+04   5.585e+06   2.160e+00       50
      47   -2.414043e-01   1.240e+04   8.344e+06   1.265e+00       50
      48   -2.402520e-01   1.234e+04   5.871e+06   1.740e+00       38
      49   -2.361293e-01   1.222e+04   6.271e+06   5.786e+00       34
      50   -2.330153e-01   1.208e+04   7.755e+06   4.441e+00       50
      51   -2.291527e-01   1.193e+04   1.068e+07   5.455e+00       50
      52   -2.267985e-01   1.181e+04   1.279e+07   3.414e+00       50
      53   -2.255987e-01   1.174e+04   1.442e+07   1.796e+00       50
      54   -2.245273e-01   1.169e+04   1.565e+07   1.808e+00       46
      55   -2.230486e-01   1.162e+04   1.629e+07   2.082e+00       50
      56   -2.214139e-01   1.156e+04   1.688e+07   2.258e+00       38
      57   -2.184836e-01   1.150e+04   1.506e+07   4.290e+00       50
      58   -2.167126e-01   1.146e+04   1.878e+07   2.652e+00       50
      59   -2.134011e-01   1.145e+04   2.101e+07   4.868e+00       50
      60   -2.096506e-01   1.144e+04   2.589e+07   6.208e+00       50
      61   -2.069613e-01   1.152e+04   2.378e+07   4.615e+00       50
      62   -2.046755e-01   1.163e+04   2.720e+07   5.395e+00       50
      63   -2.034492e-01   1.168e+04   2.846e+07   3.036e+00       50
      64   -2.018877e-01   1.183e+04   2.969e+07   4.842e+00       42
      65   -2.008308e-01   1.193e+04   3.449e+07   3.024e+00       50
      66   -2.002902e-01   1.198e+04   3.438e+07   1.454e+00       50
      67   -1.999332e-01   1.202e+04   3.177e+07   1.109e+00       39
      68   -1.993962e-01   1.206e+04   2.794e+07   1.526e+00       46
      69   -1.989814e-01   1.211e+04   2.759e+07   1.348e+00       34
      70   -1.985400e-01   1.215e+04   2.467e+07   1.578e+00       38
      71   -1.979973e-01   1.221e+04   2.241e+07   1.721e+00       44
      72   -1.976266e-01   1.225e+04   2.607e+07   1.254e+00       35
      73   -1.973735e-01   1.228e+04   3.011e+07   8.718e-01       30
      74   -1.971181e-01   1.228e+04   2.834e+07   1.119e+00       30
      75   -1.968659e-01   1.231e+04   3.255e+07   8.962e-01       33
      76   -1.965684e-01   1.234e+04   3.579e+07   1.046e+00       40
      77   -1.962540e-01   1.236e+04   3.978e+07   1.312e+00       29
      78   -1.958557e-01   1.239e+04   3.504e+07   2.402e+00       39
      79   -1.956540e-01   1.239e+04   3.179e+07   1.379e+00       50
      80   -1.954114e-01   1.241e+04   2.573e+07   1.235e+00       39
      81   -1.950111e-01   1.248e+04   2.767e+07   2.925e+00       37
      82   -1.948023e-01   1.251e+04   3.000e+07   1.981e+00       50
      83   -1.946087e-01   1.255e+04   2.561e+07   2.336e+00       50
      84   -1.944483e-01   1.257e+04   3.252e+07   2.291e+00       50
      85   -1.943276e-01   1.259e+04   4.673e+07   1.835e+00       50
      86   -1.942494e-01   1.261e+04   5.671e+07   1.379e+00       31
      87   -1.941726e-01   1.263e+04   6.267e+07   1.808e+00       35
      88   -1.941008e-01   1.263e+04   4.457e+07   1.197e+00       50
      89   -1.940295e-01   1.264e+04   5.015e+07   1.235e+00       50
      90   -1.939145e-01   1.263e+04   4.132e+07   2.059e+00       34
      91   -1.938086e-01   1.261e+04   3.934e+07   1.759e+00       50
      92   -1.937403e-01   1.263e+04   3.581e+07   1.029e+00       50
      93   -1.935855e-01   1.266e+04   2.997e+07   2.616e+00       39
      94   -1.934334e-01   1.269e+04   2.671e+07   3.732e+00       46
      95   -1.933555e-01   1.273e+04   2.765e+07   2.369e+00       50
      96   -1.933392e-01   1.278e+04   2.719e+07   2.862e+00       43
      97   -1.933184e-01   1.284e+04   2.553e+07   3.793e+00       50
      98   -1.934065e-01   1.294e+04   3.369e+07   4.195e+00       42
      99   -1.934424e-01   1.298e+04   2.991e+07   2.751e+00       50
     100   -1.935079e-01   1.309e+04   3.734e+07   2.771e+00       50
     101   -1.935637e-01   1.316e+04   4.458e+07   1.676e+00       48
     102   -1.935959e-01   1.321e+04   4.021e+07   1.109e+00       33
     103   -1.937607e-01   1.327e+04   3.982e+07   1.793e+00        1
     104   -1.940008e-01   1.336e+04   3.947e+07   2.763e+00        1
     105   -1.941032e-01   1.347e+04   3.917e+07   1.955e+00       36
     106   -1.941465e-01   1.354e+04   3.663e+07   1.099e+00       45
     107   -1.941791e-01   1.359e+04   3.867e+07   8.323e-01       37
     108   -1.941788e-01   1.359e+04   3.856e+07   1.929e-03       57
     109   -1.941785e-01   1.359e+04   3.854e+07   1.968e-03        2
     110   -1.941782e-01   1.359e+04   3.853e+07   1.982e-03        2
     111   -1.941779e-01   1.359e+04   3.912e+07   2.001e-03        2
     112   -1.941776e-01   1.359e+04   3.876e+07   1.973e-03        7
     113   -1.941770e-01   1.359e+04   4.051e+07   4.015e-03        3
     114   -1.941766e-01   1.359e+04   4.084e+07   3.618e-03       13
     115   -1.941729e-01   1.358e+04   4.091e+07   2.509e-02        3
     116   -1.941720e-01   1.358e+04   4.131e+07   6.159e-03       58
     117   -1.941711e-01   1.358e+04   4.040e+07   6.177e-03       10
     118   -1.941701e-01   1.358e+04   4.129e+07   1.114e-02       22
     119   -1.941684e-01   1.358e+04   4.158e+07   1.215e-02       11
     120   -1.941649e-01   1.357e+04   4.033e+07   2.455e-02        6
     121   -1.941642e-01   1.357e+04   4.052e+07   1.495e-02        3
     122   -1.941633e-01   1.357e+04   4.054e+07   1.527e-02        3
     123   -1.941628e-01   1.357e+04   4.015e+07   3.005e-03       64
     124   -1.941628e-01   1.357e+04   4.015e+07   1.302e-03       15
     125   -1.941627e-01   1.357e+04   4.019e+07   3.842e-04       14
     126   -1.941627e-01   1.357e+04   4.149e+07   3.429e-04        7
     127   -1.941626e-01   1.357e+04   4.150e+07   3.857e-04        2
     128   -1.941626e-01   1.357e+04   4.151e+07   3.883e-04        1
     129   -1.941625e-01   1.357e+04   4.152e+07   3.873e-04        1
     130   -1.941624e-01   1.357e+04   4.154e+07   3.817e-04        1
     131   -1.941624e-01   1.357e+04   4.154e+07   3.492e-04        3
     132   -1.941623e-01   1.357e+04   4.156e+07   3.873e-04        2
     133   -1.941623e-01   1.357e+04   4.157e+07   3.873e-04        1
     134   -1.941622e-01   1.357e+04   4.159e+07   3.840e-04        1
     135   -1.941621e-01   1.357e+04   4.161e+07   3.875e-04        1
     136   -1.941620e-01   1.357e+04   4.163e+07   3.857e-04        1
     137   -1.941620e-01   1.357e+04   4.169e+07   3.859e-04        1
     138   -1.941620e-01   1.357e+04   4.166e+07   3.508e-04        5
     139   -1.941619e-01   1.357e+04   4.169e+07   3.869e-04        1
     140   -1.941618e-01   1.357e+04   4.173e+07   3.871e-04        1
     141   -1.941618e-01   1.357e+04   4.173e+07   3.528e-04        9
     142   -1.941617e-01   1.357e+04   4.167e+07   3.855e-04        1
     143   -1.941616e-01   1.357e+04   4.168e+07   3.874e-04        1
     144   -1.941616e-01   1.357e+04   4.169e+07   3.887e-04        1
     145   -1.941615e-01   1.357e+04   4.157e+07   3.896e-04        2
     146   -1.941614e-01   1.357e+04   4.158e+07   3.894e-04        2
     147   -1.941613e-01   1.357e+04   4.159e+07   3.902e-04        1
     148   -1.941613e-01   1.357e+04   4.160e+07   3.513e-04        4
     149   -1.941612e-01   1.357e+04   4.165e+07   3.900e-04        1
     150   -1.941612e-01   1.357e+04   4.162e+07   3.709e-04        7
     151   -1.941611e-01   1.357e+04   4.163e+07   3.895e-04        1
     152   -1.941611e-01   1.357e+04   4.165e+07   3.872e-04        2
     153   -1.941611e-01   1.357e+04   4.170e+07   3.896e-04        1
     154   -1.941610e-01   1.357e+04   4.179e+07   3.908e-04        1
     155   -1.941609e-01   1.357e+04   4.188e+07   3.901e-04        1
     156   -1.941609e-01   1.357e+04   4.195e+07   3.902e-04        2
     157   -1.941609e-01   1.357e+04   4.197e+07   3.330e-04        9
     158   -1.941609e-01   1.357e+04   4.178e+07   9.665e-05        3
     159   -1.941608e-01   1.357e+04   4.179e+07   9.009e-05        3
     160   -1.941608e-01   1.357e+04   4.181e+07   9.669e-05        1
     161   -1.941608e-01   1.357e+04   4.184e+07   9.476e-05        1
     162   -1.941608e-01   1.357e+04   4.188e+07   9.650e-05        4
     163   -1.941608e-01   1.357e+04   4.192e+07   9.596e-05        2
     164   -1.941608e-01   1.357e+04   4.197e+07   9.633e-05        3
     165   -1.941607e-01   1.357e+04   4.206e+07   9.584e-05        2
     166   -1.941607e-01   1.357e+04   4.209e+07   9.639e-05        2
     167   -1.941607e-01   1.357e+04   4.212e+07   4.834e-05        4
     168   -1.941607e-01   1.357e+04   4.212e+07   4.716e-05        3
     169   -1.941607e-01   1.357e+04   4.243e+07   4.778e-05        1
     170   -1.941607e-01   1.357e+04   4.219e+07   4.795e-05        1
     171   -1.941607e-01   1.357e+04   4.162e+07   4.826e-05        1
     172   -1.941607e-01   1.357e+04   4.238e+07   9.728e-05        1
     173   -1.941606e-01   1.357e+04   4.256e+07   9.664e-05        1
     174   -1.941606e-01   1.357e+04   4.263e+07   4.786e-05        2
     175   -1.941606e-01   1.357e+04   4.263e+07   4.775e-05        3
     176   -1.941606e-01   1.357e+04   4.273e+07   4.814e-05        1
     177   -1.941606e-01   1.357e+04   4.285e+07   4.788e-05        1
     178   -1.941606e-01   1.357e+04   4.298e+07   9.409e-05        5
     179   -1.941606e-01   1.357e+04   4.316e+07   9.689e-05        1
     180   -1.941606e-01   1.357e+04   4.337e+07   9.704e-05        1
     181   -1.941605e-01   1.357e+04   4.353e+07   9.728e-05        1
     182   -1.941605e-01   1.357e+04   4.371e+07   9.714e-05        1
     183   -1.941605e-01   1.357e+04   4.195e+07   9.748e-05        1
     184   -1.941605e-01   1.357e+04   4.413e+07   9.759e-05        2
     185   -1.941605e-01   1.357e+04   4.214e+07   9.774e-05        1
     186   -1.941605e-01   1.357e+04   4.214e+07   9.460e-05        6
     187   -1.941605e-01   1.357e+04   4.226e+07   9.756e-05        1
     188   -1.941604e-01   1.357e+04   4.239e+07   9.702e-05        1
     189   -1.941604e-01   1.357e+04   4.254e+07   9.752e-05        1
     190   -1.941604e-01   1.357e+04   4.272e+07   9.740e-05        1
     191   -1.941604e-01   1.357e+04   4.294e+07   9.775e-05        1
     192   -1.941604e-01   1.357e+04   4.317e+07   9.768e-05        1
     193   -1.941604e-01   1.357e+04   4.341e+07   9.749e-05        3
     194   -1.941603e-01   1.357e+04   4.369e+07   9.768e-05        2
     195   -1.941603e-01   1.357e+04   4.400e+07   9.771e-05        2
     196   -1.941603e-01   1.357e+04   4.412e+07   4.880e-05        4
     197   -1.941603e-01   1.357e+04   4.419e+07   4.729e-05       11
     198   -1.941603e-01   1.357e+04   4.433e+07   4.871e-05        6
     199   -1.941603e-01   1.357e+04   4.452e+07   4.861e-05        3
     200   -1.941603e-01   1.357e+04   4.455e+07   4.802e-05        8

EXIT: Iteration limit reached. Current point is infeasible.

Final Statistics
----------------
Final objective value               =  -1.94160283288063e-01
Final feasibility error (abs / rel) =   1.36e+04 / 4.81e-01
Final optimality error  (abs / rel) =   4.46e+07 / 4.46e+07
# of iterations                     =        200 
# of CG iterations                  =       4313 
# of function evaluations           =        240
# of gradient evaluations           =        202
Total program time (secs)           =   29787.21484 (517088.625 CPU time)
Time spent in evaluations (secs)    =   29624.94141

===============================================================================

